"","web_url","snippet","lead_paragraph","source","pub_date","document_type","news_desk","section_name","subsectoinName","type_of_material","_id","word_count","score","uri","print_page","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"31","https://www.nytimes.com/2019/03/04/us/california-lawsuit-title-x-family-planning.html","Millions of low-income patients receive reproductive health services each year through Title X, a $286 million federal family planning initiative.","Millions of low-income patients receive reproductive health services each year through Title X, a $286 million federal family planning initiative.","The New York Times","2019-03-04T20:23:39+0000","article","National","U.S.",NA,"News","5c7d89a549f0eacbf105b4ab",645,0,"nyt://article/b1cd477a-ac0f-59c1-ac82-4873dc072e90",17,"California Sues Trump Administration to Block Restrictions to Family Planning Program",NA,NA,"California Sues Over Muzzle On Abortions",NA,NA,NA,"By JOSE A. DEL REAL and ROBERT PEAR",NA
"32","https://www.nytimes.com/2019/03/03/us/politics/trump-daily-intelligence-briefing.html","While the professionals do not criticize Mr. Trump’s focus, they question whether those interests are crowding out intelligence on threats like terrorism.","While the professionals do not criticize Mr. Trump’s focus, they question whether those interests are crowding out intelligence on threats like terrorism.","The New York Times","2019-03-03T18:52:35+0000","article","Washington","U.S.","Politics","News","5c7c22cd49f0eacbf105b206",1662,0,"nyt://article/bd0a3f4f-881a-5d51-8750-bbf0f97a9207",1,"To Woo a Skeptical Trump, Intelligence Chiefs Talk Economics Instead of Spies",NA,NA,"Trade Statistics  Rivet President  Bored by Spies",NA,NA,NA,"By JULIAN E. BARNES and MICHAEL S. SCHMIDT",NA
"33","https://www.nytimes.com/2019/03/04/opinion/trump-trade-war.html","What the world has learned from Trump’s trade war.","What the world has learned from Trump’s trade war.","The New York Times","2019-03-04T21:38:20+0000","article","OpEd","Opinion",NA,"Op-Ed","5c7d9b2649f0eacbf105b4d6",933,0,"nyt://article/1bbab1a4-7fb2-5da3-8b1a-b5fdbbb65477",26,"America the Cowardly Bully",NA,NA,"America the Cowardly Bully",NA,NA,NA,"By PAUL KRUGMAN",NA
"34","https://www.nytimes.com/2019/03/01/opinion/cohen-hearing-trump-congress.html","The public testimony was sleaze for the sake of pure partisan pleasure, not a serious attempt at uncovering lawbreaking.","The public testimony was sleaze for the sake of pure partisan pleasure, not a serious attempt at uncovering lawbreaking.","The New York Times","2019-03-01T17:39:29+0000","article","OpEd","Opinion",NA,"Op-Ed","5c796eab49f0eacbf105ae82",921,0,"nyt://article/9d45acbf-b45c-5d0e-88ed-53f9aa0679c2",NA,"The Real Reason for the Michael Cohen Hearing",NA,NA,"The Real Reason for the Michael Cohen Hearing",NA,NA,NA,"By DANIEL McCARTHY",NA
"35","https://www.nytimes.com/2019/03/03/opinion/how-goes-the-trade-war.html","Consumers, not foreigners, are paying the Trump tariffs.","Consumers, not foreigners, are paying the Trump tariffs.","The New York Times","2019-03-03T16:55:22+0000","article","OpEd","Opinion",NA,"Op-Ed","5c7c075449f0eacbf105b1e1",884,0,"nyt://article/845c1a43-ea6a-57a8-8ffc-e1a5d0f818d3",NA,"How Goes the Trade War?",NA,NA,"How Goes the Trade War?",NA,NA,NA,"By PAUL KRUGMAN",NA
"36","https://www.nytimes.com/2019/03/01/world/asia/us-military-exercises-south-korea.html","Even without progress this week to shut down North Korea’s nuclear weapons program, the Trump administration is shelving massive military exercises that Pyongyang views as provocative.","Even without progress this week to shut down North Korea’s nuclear weapons program, the Trump administration is shelving massive military exercises that Pyongyang views as provocative.","The New York Times","2019-03-01T23:53:32+0000","article","Washington","World","Asia Pacific","News","5c79c65649f0eacbf105af67",430,0,"nyt://article/be8900b1-0b3e-50cd-807e-73a77ce6cf4e",9,"Pentagon Again Suspends Large-Scale Military Exercises With South Korea",NA,NA,"U.S. to Curtail Training Games In South Korea",NA,NA,NA,"By HELENE COOPER",NA
"37","https://www.nytimes.com/2019/03/03/business/us-china-trade-deal-trump.html","The Trump administration’s agreement is shaping up to be less ambitious than what the president and his top advisers initially set out to win.","The Trump administration’s agreement is shaping up to be less ambitious than what the president and his top advisers initially set out to win.","The New York Times","2019-03-04T00:56:09+0000","article","Business","Business",NA,"News","5c7c780349f0eacbf105b290",1295,0,"nyt://article/102c9442-8c76-5115-a862-c79e37728dcf",1,"U.S. and China Near a Trade Deal to Drop Tariffs","","","Trade Deal With China May Bring Few Changes",NA,NA,NA,"By ANA SWANSON and KEITH BRADSHER",NA
"38","https://www.nytimes.com/2019/03/01/world/africa/africa-terror-attacks.html","Hundreds of American commandos and other troops are leaving West Africa even as terrorist attacks intensify and spread across the continent.","Hundreds of American commandos and other troops are leaving West Africa even as terrorist attacks intensify and spread across the continent.","The New York Times","2019-03-01T10:00:18+0000","article","Washington","World","Africa","News","5c79030c49f0eacbf105ad4f",1603,0,"nyt://article/070a4d0e-f6f6-5f3e-a3c5-294a6189f7c6",1,"Where Terrorism Is Rising in Africa and the U.S. Is Leaving",NA,NA,"U.S. Pullback  In West Africa Worries Allies",NA,NA,NA,"By ERIC SCHMITT",NA
"39","https://www.nytimes.com/2019/03/02/opinion/sunday/saudi-arabia-jared-kushner-nuclear.html","There are too many unanswered questions about the White House’s role in advancing Saudi ambitions.","There are too many unanswered questions about the White House’s role in advancing Saudi ambitions.","The New York Times","2019-03-02T19:24:13+0000","article","OpEd","Opinion","Sunday Review","Op-Ed","5c7ad8b749f0eacbf105b0a3",895,0,"nyt://article/f9562668-55a0-5242-a8fb-1f62f61c76d6",11,"Jared and the Saudi Crown Prince Go Nuclear?",NA,NA,"Jared and the Crown Prince Go Nuclear?",NA,NA,NA,"By NICHOLAS KRISTOF",NA
"40","https://www.nytimes.com/2019/03/03/opinion/nuclear-weapons-congress.html","With Trump and Putin pulling out of treaties, it may be up to Congress to prevent an arms race.","With Trump and Putin pulling out of treaties, it may be up to Congress to prevent an arms race.","The New York Times","2019-03-04T00:00:04+0000","article","OpEd","Opinion",NA,"Op-Ed","5c7c6ade49f0eacbf105b279",1054,0,"nyt://article/bf418c5e-cf71-52fa-97dd-a3855c66454c",21,"The New Age of Nuclear Confrontation Will Not End Well",NA,NA,"Stop Shredding Our Nuclear Safety Net",NA,NA,NA,"By MICHAEL KREPON",NA
