"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"82","RT @ChelseaClinton: The Trump administration's proposed rule change to Title X funding would restrict health care access, hurting millions…",FALSE,0,NA,2019-03-18 23:58:31,FALSE,NA,"1107793434264457216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RenaudPatti",668,TRUE,FALSE,NA,NA
"83","Trump administration bars credentialed reporters from special conference call – and allows ‘faith-based... https://t.co/ShKBAYTqkB",FALSE,1,NA,2019-03-18 23:58:28,FALSE,NA,"1107793421035540481",NA,"<a href=""https://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Blopezmiksdaddy",0,FALSE,FALSE,NA,NA
"84","RT @thehill: Kellyanne Conway's husband suggests President Trump has at least two diagnosable personality disorders https://t.co/Lub2io2IuS…",FALSE,0,NA,2019-03-18 23:58:27,FALSE,NA,"1107793418317713409",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","youcnbmywingman",104,TRUE,FALSE,NA,NA
"85","RT @thehill: Trump says he donates $100,000 from salary to DHS https://t.co/MqbX2abfFz https://t.co/yUoAS5ULhL",FALSE,0,NA,2019-03-18 23:58:25,FALSE,NA,"1107793411942293508",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KatGodspell",35,TRUE,FALSE,NA,NA
"86","RT @TheDemCoalition: ""His condition is getting worse, not better — and there are now fewer people in the administration able to contain the…",FALSE,0,NA,2019-03-18 23:58:24,FALSE,NA,"1107793404413411328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AgeofAquarius70",929,TRUE,FALSE,NA,NA
"87","RT @laureldavilacpa: The disconnect between the Trump administration and reality on #climatechange keeps growing. We need a president like…",FALSE,0,NA,2019-03-18 23:58:21,FALSE,NA,"1107793392136867840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrisehyman",43,TRUE,FALSE,NA,NA
"88","RT @TheBeatWithAri: .@AOC is using Instagram live to ""expose what she calls the Trump administration's effort to manipulate the census and…",FALSE,0,NA,2019-03-18 23:58:20,FALSE,NA,"1107793387955109893",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Redpainter1",163,TRUE,FALSE,NA,NA
"89","RT @ewarren: Saudi Arabia has brutally crushed dissent—kidnapping, detaining, torturing its own citizens—even murdering Jamal Khashoggi, a…",FALSE,0,NA,2019-03-18 23:58:19,FALSE,NA,"1107793386109468675",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MidCoastResist",1070,TRUE,FALSE,NA,NA
"90","RT @TheBeatWithAri: .@AOC is using Instagram live to ""expose what she calls the Trump administration's effort to manipulate the census and…",FALSE,0,NA,2019-03-18 23:58:19,FALSE,NA,"1107793385148997632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","McTestaInc",163,TRUE,FALSE,NA,NA
"91","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:58:18,FALSE,NA,"1107793382489968642",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DavidHo71425843",7153,TRUE,FALSE,NA,NA
"92","RT @ChelseaClinton: The Trump administration's proposed rule change to Title X funding would restrict health care access, hurting millions…",FALSE,0,NA,2019-03-18 23:58:17,FALSE,NA,"1107793377972621312",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","stemple_jim",668,TRUE,FALSE,NA,NA
"93","RT @EdKrassen: Socialism (n): ""economic and political theories advocating governmental ownership and administration of the means of product…",FALSE,0,NA,2019-03-18 23:58:16,FALSE,NA,"1107793374629777408",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","emilamotekun1",162,TRUE,FALSE,NA,NA
"94","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:58:15,FALSE,NA,"1107793370208854016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1NatOne",7153,TRUE,FALSE,NA,NA
"95","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:58:15,FALSE,NA,"1107793367440785408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mattatinio",7153,TRUE,FALSE,NA,NA
"96","RT @DenbrotS: “..Trump administration has escalated its hostility toward human rights bodies including the apparent severing of relationshi…",FALSE,0,NA,2019-03-18 23:58:13,FALSE,NA,"1107793361623089153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emily_baker",41,TRUE,FALSE,NA,NA
"97","RT @TheDemCoalition: ""His condition is getting worse, not better — and there are now fewer people in the administration able to contain the…",FALSE,0,NA,2019-03-18 23:58:12,FALSE,NA,"1107793357021941760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","darionavarro111",929,TRUE,FALSE,NA,NA
"98","RT @atrupar: TRUMP ADMINISTRATION: Everyone should read the white supremacist mass murderer’s manifesto in full 

ALSO TRUMP ADMIN: Nobody…",FALSE,0,NA,2019-03-18 23:58:12,FALSE,NA,"1107793356514455552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LaraSeattle",462,TRUE,FALSE,NA,NA
"99","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:58:12,FALSE,NA,"1107793355700764673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JDilo10",7153,TRUE,FALSE,NA,NA
"100","RT @EdKrassen: Socialism (n): ""economic and political theories advocating governmental ownership and administration of the means of product…",FALSE,0,NA,2019-03-18 23:58:10,FALSE,NA,"1107793349145055233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobertDevine8",162,TRUE,FALSE,NA,NA
